Istuntokauden uudelleenavaaminen	Resumption of the session
Arvoisa puhemies, muistanette myös parlamentin turvallisuusongelmaan liittyvän tapauksen, kun 28. marraskuuta 2000 Turkin ulkoministeri osallistui parlamentin ulkoasioiden, ihmisoikeuksien sekä yhteisen turvallisuuden ja puolustuspolitiikan valiokunnan kokoukseen, ja mielenosoittajat keskeyttivät hänen puheensa.	Mr President, also on the question of the security of the House, you will recall that on 28 November 2000, the Turkish Foreign Minister addressed the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy of this House and he was interrupted by demonstrators.
Tapahtuma aiheutti suurta huolta.	This was a cause for great concern.
Kiinnitimme silloin parlamentin puhemiehen huomion tapaukseen, ja hän lupasi tutkia asiaa ja ottaa selvää, minkälaisesta tilanteesta oli kyse, miten mielenosoittajat olivat onnistuneet pääsemään parlamenttiin, ja hän lupasi ryhtyä asianmukaisiin toimiin, jotta tällaisia välikohtauksia enää pääse tapahtumaan.	At the time, we drew the attention of the President to this matter and she promised she would look into it and find out what the circumstances were, how the demonstrators had got into Parliament, and take appropriate steps to ensure that such things did not happen again.
Kysyisin keskustelemamme asiaan viitaten, eli parlamentin turvallisuuteen, voisitteko te tutkia asiaa selvittääksenne, mihin toimiin turvallisuuden parantamiseksi on ryhdytty, sekä antaa selonteon tuosta marraskuisesta välikohtauksesta.	In the context of what we have been discussing, the security of this House, I wonder if you would follow this up and see what steps have been taken to improve security and report on that particular incident last November.
Hyvä jäsen van Orden, puhemiehistö ja minä panemme huomionne tarkasti muistiin, ja te saatte piakkoin vastauksen esittämäänne tärkeään kysymykseen.	Mr Van Orden, the President of Parliament and the Bureau fully note your comment and you will soon have a response to the important issue that you have raised.
Miesten ja naisten tasapuolinen osallistuminen päätöksentekoon	Balanced participation of women and men in the decision-making process
Esityslistalla on seuraavana Karamanoun laatima naisten oikeuksien ja tasa-arvoasioiden valiokunnan mietintö (A5-0373/2000) komission kertomuksesta naisten ja miesten tasapuolisesta osallistumisesta päätöksentekoon 2. joulukuuta 1996 annetun neuvoston suosituksen 96/694 täytäntöönpanosta (KOM(2000) 120 - C5-0210/2000 - 2000/2117(COS)).	The next item is the report (A5­0373/2000) by Mrs Karamanou, on behalf of the Committee on Women' s Rights and Equal Opportunities, on a report from the Commission to the Council, the European Parliament and the Economic and Social Committee on the implementation of Council Recommendation 96/694 of 2 December 1996 on the balanced participation of women and men in the decision-making process [COM(2000) 120 - C5-0210/2000 - 2000/2117(COS)].
. (EL) Arvoisa puhemies, arvoisa komission jäsen, hyvät kollegat, on totta, että naisten ihmisoikeuksien ja perusvapauksien tunnustaminen on tapahtunut vain vähän aikaa sitten.	Mr President, Commissioner, ladies and gentlemen, as you all know, respect for the human rights and fundamental freedoms of women is a very recent affair.
Vasta 1900-luvulla naiset saivat oikeuden päästä koulutuksen, tieteiden ja taiteiden piiriin sekä palkkatyöhön, ja lopulta heidät tunnustettiin olennoiksi, joilla on poliittisia oikeuksia.	It was not until the twentieth century that women acquired the right to access education, the sciences, the arts and paid employment and that they were finally recognised as beings with political rights.
1900-luku käynnistyi naisten kamppailulla äänioikeuden saamiseksi.	The 20th century began with women fighting for the right to vote.
2000-luvun alussa puolet maapallon väkiluvusta käsittävän väestönosan tavoitteet keskittyvät siihen, että sukupuolten välillä päästäisiin oikeudenmukaiseen jakoon kaikissa vastuissa ja velvoitteissa kaikilla talouselämän, yhteiskunnan, perhe-elämän ja politiikan aloilla.	At the start of the twenty-first century, the demands of half the population on the planet centre around achieving a fair division of responsibilities and obligations between the sexes in all sectors of economic, social, family and political life.
Tarve edistää naisten asemaa päätöksenteossa ja saada aikaan naisten ja miesten tasapuolinen osallistuminen demokraattisiin instituutioihin, mikä heijastaisi sukupuolten välistä luonnonmukaista tasapainoa, on demokratian ja rauhan sekä yhteenkuuluvuuden ja Euroopan unionin kilpailukyvyn ehto.	The need for women to be promoted in the decision-making process and for a balanced participation of women and men in the democratic institutions, reflecting the balance of the sexes in nature, is a sine qua non of democracy and peace and of the cohesion and competitiveness of the European Union.
Vastauksena tähän tarpeeseen neuvosto hyväksyi joulukuussa 1996 komission vuonna 1992 perustaman eurooppalaisen asiantuntijaverkoston yksityiskohtaisten ehdotusten pohjalta merkittävän suosituksen jäsenvaltioille tarkoituksenaan edistää naisten ja miesten tasapuolista osallistumista päätöksentekoon.	In response to this need and on the basis of documented proposals by the European network of experts which made up the Commission in 1992, the Council adopted an important recommendation to the Member States on the balanced participation of men and women in the decision-making process in December 1996.
Jäsenvaltioiden antamien tietojen perusteella kolmen viime vuoden aikana on todettu pientä edistystä sekä suuria poikkeamia jäsenvaltioiden välillä.	We can see from the details provided by the Member States that little progress has been made over the last three years and that there are huge discrepancies between the Member States.
Parhaat tulokset on saavutettu sellaisissa maissa, kuten Ruotsissa ja Suomessa, joilla on pitkät perinteet sukupuolten tasa-arvon edistämisessä ja joissa naisten osuus parlamentissa ja hallituksessa on yli 40 prosenttia.	The most satisfactory results are in countries which have a long tradition of promoting equality of the sexes, such as Sweden and Finland, where the proportion of women in parliament and government is over 40%.
Kuten tiedetään, Ruotsin hallituksessa on kymmenen miesministeriä ja kymmenen naisministeriä.	Sweden, as you all know, has a cabinet of 10 male and 10 female ministers.
Vastapuolella ovat taas sellaiset maat kuin Kreikka ja Italia, joissa naisten osuus on noin 10 prosenttia tai vähemmän.	And of course, at the other end of the spectrum, there are countries such as Greece and Italy, where the proportion of women is below or around 10%.
Ongelma ei tietenkään koske niinkään hallinnon alempia tasoja, vaan korkeita asemia, joissa sijaitsee todellinen päätöksentekovalta, toimeenpanovalta ja joissa suunnitellaan ja organisoidaan Euroopan unionin tulevaisuus.	The problem obviously relates to the upper rather than the lower echelons of administration, where the real decisions are taken, where the real power is exercised, where the future of the European Union is planned and organised.
Tarvitaan tietenkin rohkeita toimia niiden ongelmien ja ristiriitojen ratkaisemiseksi, jotka johtuvat menneisyyteen kuuluvasta sukupuolten välisestä sopimuksesta.	Clearly, courageous measures are needed if the problems and contradictions inherited from past covenants between the sexes are to be resolved.
Tarvitaan uutta institutionaalista ja sosiaalista kehystä, joka heijastaa täydellisesti tähän mennessä tapahtuneita muutoksia ja turvaa yhtäläiset mahdollisuudet, jotka jakavat sukupuolten kesken kaiken vastuun oikeudenmukaisesti ja tasapainoisesti niin, että päätökset vastaavat ihmissuvun molempien sukupuolten toiveita, arvoja, prioriteetteja, etuja ja kykyjä.	We need a new institutional and social framework which reflects all the changes that have taken place since, which guarantees equal opportunities and divides responsibilities fairly and evenly between the two sexes, so that any decisions taken reflect the wishes, values, priorities, interests and abilities of both sexes of the human race.
Nykyään kun naiset osallistuvat täysimääräisesti tuotantoprosessiin ja Euroopan yliopistoissa naisten osuus on suurempi kuin miesten, heidän sulkemisensa niiden keskusten ulkopuolelle, joissa harjoitetaan politiikkaa ja tehdään päätöksiä, ei ole oikeutettua, kuten ei ole myöskään se, että vastuu perhe-elämän velvoitteista ja kodinhoidosta jää yksinomaan naisten harteille.	Now that women are fully involved in the production process and outnumber men at European universities, there is no excuse to exclude them from policy- and decision-making processes, nor is it right that women should bear the burden of family obligations and home-making alone.
Sukupuolten yhteistyö ja yhteinen päätöksenteko, feminiinisen ja maskuliinisen tasapaino, voivat tutkimusten mukaan johtaa tasapainoisempaan ja oikeudenmukaisempaan maailmaan.	According to studies and research, men and women working and taking decisions together, a balance between the male and female, could result in a more balanced and fairer world.
Tämä tasapaino ei tietenkään voi olla 40 prosenttia alhaisempi kummankaan sukupuolen kohdalla, ja tämä kiintiö on hyväksytty erityisesti Pohjoismaissa, missä sitä on sovellettu jo vuosia.	This balance must not, of course, drop below 40% for each sex, which is considered an acceptable percentage, especially in Scandinavia, where it has been applied for years now.
On varmaa, että naisten muodostama kriittinen massa päätöksentekoelimissä nostaisi etusijalle poliittisella asialistalla kysymyksiä, jotka liittyvät elämänlaatuun ja joita ovat ympäristönsuojelu, sosiaali- ja hyvinvointipolitiikka, terveydenhoito, koulutus, huumeiden käytön ja ihmiskaupan torjunta sekä erimielisyyksien ratkaiseminen rauhanomaisin keinoin.	What is certain is that, once there is a critical mass of women in the decision-making process, priority issues relating to the quality of life, such as environmental protection, social policy and welfare, medical care, education, the fight against drugs and trafficking in human beings and the peaceful resolution of conflicts will emerge on the political agenda.
Tämän tavoitteen, siis sukupuolten tasapuolisen osallistumisen, saavuttaminen edellyttää konkreettisia aloitteita ja toimenpiteitä, kuten puoluerakenteiden ja ehdokasasettelun uudistamista.	If we are to move in this direction, i.e. if we are to achieve a balanced participation of the sexes, we need to adopt specific initiatives and measures, such as revising the party political structure and the procedure for selecting candidates.
Lainsäädännössä puolueiden julkisesta rahoittamisesta pitää edellyttää, että annetaan lisää määrärahoja puolueille, jotka takaavat sukupuolten tasapainon ehdokaslistoillaan, ja että puolueita rangaistaan siitä, että naisehdokkaita on vähän, niin kuin Ranskassa vähän aikaa sitten päätettiin.	The legislation on public funding for political parties should make provision for greater funding for parties which guarantee a gender balance within the party and for sanctions for parties which have too few women, as was recently decided in France.
Erityisesti niissä maissa, joissa naisten osallistuminen jää alle 30 prosentin, hallitusten on tutkittava vaalijärjestelmien tarkistamista tai uudistamista.	Governments, especially in countries in which the proportion of women is below 30%, should consider how to adapt and reform their electoral systems.
Jotta kiintiöiden käyttöönotto olisi tehokasta, sen yhteydessä on lisäksi ryhdyttävä myös muihin toimenpiteisiin, jotka koskevat puolueita ja vaalijärjestelmän tarkistamista.	Similarly, if quotas introduced are to be effective, they must be linked with other measures relating to political parties and the reform of the electoral system.
Lisäksi täytyy puuttua stereotyyppisiin sukupuolirooleihin jo varhaisessa iässä koulutuksen avulla sekä lisätä naisten valmiuksia johtotehtäviin.	We also need to tackle stereotypes by teaching the role of the sexes from an early age and to cultivate women's ability to hold high office.
On tuettava vanhustenhoitoon liittyviä sosiaalisia rakenteita, ja jäsenvaltioiden on tehtävä seuraavassa hallitustenvälisessä konferenssissa perustamissopimukseen muutoksia, joilla luodaan vahva oikeusperusta, joka takaa sukupuolten tasapuolisen osallistumisen Euroopan unionin toimielimiin, jotta vihdoinkin toteutuisi se, minkä pitäisi olla itsestään selvää, eli että sukupuolten välinen luonnollinen tasapaino ilmenee myös valtakeskuksissa, jotta mitään päätöksiä Euroopan tulevaisuudesta ei tehtäisi ilman naisia.	We need to strengthen the social infrastructure in order to care for and support senior citizens and, finally, the Member States need to take part in the next Intergovernmental Conference to reform the Treaty so that there is a strong legal basis which will guarantee a balanced participation of the two sexes in the institutions of the European Union, so that we can finally do the obvious and ensure that the natural balance of the sexes is also expressed in the centres of power and that any decisions taken on the future of Europe are not taken in the absence of women.
Arvoisa puhemies, arvoisa komission jäsen, hyvät parlamentin jäsenet, miten onnistumme varmistamaan naisten ja miesten tasapuolisen osallistumisen työelämään niin yksityisessä talouselämässä kuin julkisissa laitoksissakin, niin Euroopan tasolla kuin kansallisillakin tasoilla?	Mr President, Commissioner, ladies and gentlemen, how can we strive to create a balance between men and women in their working life, both in the private sector and in public institutions, and both at European and national level?
Tarvitsemme tehokkaan strategian, joka johtaa myönteisiin toimiin.	We need an effective strategy leading to positive measures.
Meidän on aloitettava taistelu tietämättömyyttä ja vanhentuneita sukupuolirooleja vastaan.	We need to combat ignorance and outmoded clichés about gender roles.
Esimerkkejämme ovat itsetietoiset naiset, jotka etenevät hyvinkin johtaviin tehtäviin ja osallistuvat aktiivisesti yhteiskunnalliseen elämään.	Our role model should be those confident women who very effectively occupy senior positions and who actively participate in the community.
Heidän - aivan kuten miestenkin - on voitava selviytyä kotitaloustöistä aivan yhtä hyvin kuin työelämän vaatimuksista.	However, they, and this applies equally to men, have to be able to manage their domestic commitments just as well as they cope with the professional demands placed on them.
Onnittelen PPE-DE-ryhmän puolesta jäsen Karamanouta hänen mietinnöstään, joka sisältää useita tärkeitä kohtia, kuten vaatimuksen kasvattaa naisten vaikutusvaltaa tai lisätä naisten aivan liian pientä osuutta paitsi yritysten johto- tai päätöksentekoelimissä niin myös ammattiyhdistysliikkeessä.	On behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, I would like to congratulate Mrs Karamanou on her report, which includes many important sections, such as the demand for the role of women to be enhanced or for action to be taken to counter women's inadequate representation in management and decision-making bodies within companies and also, I have to say, in trade unions.
Epätasa-arvoa työmarkkinoilla voidaan torjua edistämällä kykyjä jo varhaisessa vaiheessa.	The lack of equal opportunities in the labour market needs to be tackled by developing talent early on.
Kannatamme myös sukupuolikohtaisten tilastojen kokoamista koskevaa vaatimusta, jotta voidaan laatia todellista ja tavoiteltua tilannetta koskevat luotettavat analyysit.	We also support the call for gender-specific statistics in order to produce meaningful comparisons of objectives and outcomes.
Kannatamme sukupuolten välistä yhteistyötä ja haluamme siksi, että naisia koskevat ongelmat, naisten näkemykset ja kokemukset otetaan huomioon.	We are in favour of cooperation between the two sexes and therefore want to see women's concerns, outlook and experience making a contribution.
Ne todellakin rikastuttavat miesten maailmaa.	They really do enhance a man' s world.
Muutamat lausunnot eivät kuitenkaan saaneet taakseen naisten oikeuksien ja tasa-arvoasioiden valiokunnan PPE-DE-ryhmän jäsenten enemmistöä.	However, on some points there is not a majority amongst the Members of the PPE Group in the Committee on Women's Rights and Equal Opportunities.
Siksi puolet kannatti ja puolet vastusti mietintöä eli hyvin tasapuolisesti.	That is why one half voted for the report and the other half against - now that is equality.
Olen esittänyt päähuolenaiheemme yhdessä Astrid Lullingin kanssa neljässä tarkistuksessa.	The main concerns are covered in the four amendments which I have tabled jointly with Astrid Lulling.
Jäsen Karamanou on jo hyväksynyt yhden niistä: ammattia ja perhettä ei pitäisi enää kuvata kaksinkertaiseksi syrjinnäksi, jota vastaan naisten on taisteltava, vaan kaksinkertaiseksi työmääräksi, josta heidän on selviydyttävä ja joista he myös käytännössä selviytyvät.	Mrs Karamanou has already agreed to one of them: career and family are no longer to be described as a double disadvantage which women have to face, but rather as a twofold burden which they have to cope with and which they can indeed cope with in practice.
Toinen tarkistus koskee ehdotusta, jonka mukaan naisten on saatava koulutusta, jotta he voivat edetä urallaan ja johon sisältyy esimerkiksi julkinen esiintymisen ja itsensä esiintuominen.	Another amendment opposes the idea that women need to be trained in areas like public speaking and assertiveness if they are to get on in the world.
Ensiksi on todettava, että myös miehillä on tällä alalla suuria puutteita. Toiseksi: monet nykypäivän naiset eivät suinkaan odota, että he saavat ensin taloudellista tukea.	For one thing, men also have shortcomings in these areas and, what is more, these days many women do not wait to be given financial support to do this.
Hehän tekevät sen itse; he ovat saavuttaneet sen jo kauan sitten.	They are doing it themselves and have been doing so for a long time.
Kaksi tärkeintä tarkistusta koskee kuitenkin kiintiöiden käytön torjumista.	However, the two most important amendments are about rejecting the establishment of quotas.
Me tiedämme, että jäsenvaltioissa sovelletaan erilaisia sääntöjä.	We know that there are various systems in the Member States.
Toisissa maissa on käytetään kiintiöitä, toisissa suhteutettua järjestelmää.	Some have quota arrangements of one kind or another.
Toiset haluavat käyttää eräänlaista vetoketjujärjestelmää, jolloin ehdokasluettelossa on vuorotellen mies ja nainen, ja toisissa maissa säädetään, että puolueiden on maksettava sakkoa, jos ehdokaslistoilla ei ole riittävästi naisehdokkaita.	Some want a kind of exchange system, alternating men and women, and others stipulate that the parties have to pay fines if an adequate proportion of women is not guaranteed in their lists.
Tässä yhteydessä on otettava huomioon läheisyysperiaate.	The principle of subsidiarity should come into play here.
Ei käy suinkaan päinsä, että jäsenvaltioiden yksittäiset toimenpiteet mitätöidään takaoven kautta Euroopan tasolla.	Surely it is not right for individual measures in Member States to be eroded by Europe through the back door.
Toisaalta mietinnössä hallituksia kehotetaan tutkimaan erilaisten vaalitapojen vaikutusta.	Elsewhere, governments are called upon to review the differential impact of varying electoral systems.
Se ei ole hallitusten tehtävä. Se on puolueiden tehtävä.	That is not a job for governments - it is a job for the parties.
Puolueiden olisi määritettävä se ja laadittava vaaliluettelonsa tarkasti etukäteen.	They should look at this and draw up their voting lists carefully with this in mind.
Se on puolueiden tehtävä eikä hallitusten.	It is their job and not one for governments.
Nämä tarkistukset ovat meille niin tärkeitä, että olemme pyytäneet nimenhuutoäänestystä.	We regard these amendments as so important that we have requested a roll-call vote.
Jos te jäsen Karamanou kannatatte meitä tässä kysymyksessä, varmistanette samalla, että mietintönne saa selvän enemmistön.	If you could give us your support on this, Mrs Karamanou, your report could well secure an overwhelming majority.
Tasa-arvoa vaalivien on varmistettava, että tavoitteiden lisäksi asetamme oikein myös yksityiskohdat.	Anyone deeply concerned about equal opportunities needs to make sure not only that the overall objectives are right, but that the detail is right too.
Mitä tarkempaa sanamuotoa me käytämme, sitä parempi on uskottavuutemme etenkin niiden silmissä, joilla ei ole vielä riittävästi kokemusta tältä alalta, ja sitä varmemmin tämä mietintö saa tänään laajan kannatuksen.	The more precisely we word this, the greater its credibility will be, especially among those who do not have sufficient experience in this field, and that will make it all the more likely that we will secure a broad consensus today.
Arvoisa puhemies, hyvät kollegat, sosiaalidemokraattinen ryhmäni haluaa antaa jokaiselle EU:n kansalaiselle mahdollisuuden osallistua päätöksentekoon paikallisella, alueellisella, kansallisella ja eurooppalaisella tasolla.	Mr President, ladies and gentlemen, the policy of the Group of the Party of European Socialists is for every female citizen of the EU to have access to decision-making processes at local, regional, national and European level.
Naisten yhdenvertainen osallistuminen poliittiseen ja sosiaaliseen päätöksentekoon ei ole ainoastaan laillinen oikeutemme vaan myös yhteiskunnallinen välttämättömyys.	Equal participation for women in political and social decision making is not only our legitimate right, but a social necessity.
Me emme rikastuta miesten maailmaa, vaan me jaamme tämän miesten maailman kaikilta osin.	We do not just enrich a man' s world; we are participating in all areas of this supposedly male world.
Jatkamme kollegamme Karamanoun kanssa kamppailua uuden vuosituhannen alussa parantaaksemme vallan tasapuolista jakoa miesten ja naisten kesken, ja kiitän häntä sydämellisesti hänen väsymättömästä työstään.	As the new millennium dawns, we are continuing to fight alongside our colleague Mrs Karamanou, who I would like to thank sincerely for her persistence and hard work, in order to move closer to the objective of equality in the distribution of power between men and women.
Tie on ollut pitkä Suomessa ensimmäisestä naisten äänioikeuslaista Ranskan tasa-arvoisiin ehdokasluetteloihin, ja kestää vielä kauan ennen kuin meille on itsestään selvää, että naispuoliset presidentit, pormestarit, ministerit ja puoluejohtajat ovat osa arkipäivää.	It has been a long haul from the first women's suffrage, in Finland in 1904, to gender-balanced political lists in France, and we still have a long way to go before we can take women presidents, mayors, ministers and party chairs for granted as a part of everyday life.
Euroopan unioni on edistynyt merkittävästi tällä alalla.	The European Union has made considerable progress in this regard.
Olemme nyt onnistuneet lisäämään naisten osuutta parlamentissa 30 prosenttiin, vasemmistoryhmät kuitenkin selvästi enemmän kuin konservatiiviset ja pikemminkin oikealle suuntautuneet ryhmät.	We have now been able to increase the proportion of women in the European Parliament to 30%, and it is, incidentally, markedly higher in the left-wing groups than in the Conservative and more right-wing groups.
Komissiossa naisten osuus on 25 prosenttia, jäsenvaltioiden hallituksessa 24,8 prosenttia, kansallisissa parlamenteissa 22,5 prosenttia.	25% of the Commission is made up of women, and the figure is 24.8% in the governments of the Member States and 22.5% in national parliaments.
Olen ylpeä, että omasta maastani tulee eräs hyvä uutinen.	I am pleased to bear glad tidings from my own country.
Saksan hallituksen uudelleenmuodostamisen jälkeen olemme - myös minun ryhmäni, minun poliittinen perheeni - onnistuneet lisäämään naisten osuutta Saksan liittohallituksessa 37,5 prosenttiin.	Since the last government reshuffle in Germany, women now make up 37.5% of the Federal German Government, and this has been achieved by my party, by my political family.
Esiinnymme siis itsetietoisesti tasa-arvokysymyksen edistäjänä ja kannatamme Karamanoun mietinnössä esitettyjä vaatimuksia.	We are therefore confident about our own role and can act as a driving force for equal rights and the demands arising from the Karamanou report.
Voin vain kehottaa parlamenttia seuraamaan näissä kolmessa jäsen Mannin juuri edellä tarkastelemissa kysymyksissä esittelijän esimerkkiä, toisin sanoen alkuperäistä tekstiä, jonka myös valiokunta on esittänyt.	I must call upon the House to support the rapporteur, Mrs Karamanou, as regards the three issues just raised by Mr Mann, and stick to the original text presented by the committee.
Jos hylkäämme kiintiöt, suosittelisimme puolueita valitsemaan väärän tien.	It would be a mistake to reject quotas, as the parties are being urged to do.
Kannatimme muuten kiintiöitä Pekingin naisten maailmankonferenssia koskevassa mietinnössä.	Furthermore, we also supported quotas as advocated in the report to the World Conference on Women in Beijing.
Se on oikea keino pitää kaikki välineet avoimina.	The right thing is to keep all mechanisms open.
Arvoisa puhemies, haluaisin ensiksi kiittää esittelijä Karamanouta todella erinomaisesta mietinnöstä.	Mr President, I should first of all like to thank Mrs Karamanou for a really outstanding report.
Se on mielestäni laadittu esimerkillisesti.	I think it is exemplary in the way it is written.
Mietinnössä korostetaan selkeästi, että jäsenvaltioiden välillä vallitsee suuria eroja, mutta yksi asia yhdistää kuitenkin kaikkia valtioita: tasa-arvo ei toteudu. Se ei toteudu niissäkään valtioissa, joissa tasa-arvoasiat ovat pisimmällä, ja tarkoitan tällä muun muassa Pohjoismaita.	The report clearly emphasises the big differences between the Member States, but there is one thing all the countries have in common: there is no equality, including in those countries which are furthest along the road, and here I am thinking, for example, of the Scandinavian countries.
Siellä asiassa on päästy hyvin pitkälle parlamentaarisella tasolla, sekä kansan valitsemien edustajien että hallituksen tasolla.	In Scandinavia, we have made a lot of progress at parliamentary level, both on the back and the front benches.
Tässä yhteydessä mainitaan vain Ruotsi ja Suomi ja Tanska sivuhuomautuksessa.	Only Sweden and Finland are mentioned, and Denmark is included in an aside.
Haluaisin sen vuoksi sanoa muutaman sanan Tanskasta.	I should therefore like to say a couple of things about Denmark.
Haluaisin korostaa, että Tanskan hallituksen 21 ministeristä 9 on naisia, ja että niin talousministeri kuin valtiovarainministerikin ovat naisia.	I want to stress that 9 of the 21 ministers in the Danish government are women and that both the Minister of Economic Affairs and the Minister of Finance are women.
Minun puolueessani on tällä hetkellä neljä naisministeriä ja yksi miesministeri, lisäksi kansankäräjäryhmän puheenjohtaja ja puolueen puheenjohtaja ovat naisia, ja minä olen puolueeni ainoa Euroopan parlamentin jäsen.	My own party has 4 female ministers at the moment and one male minister, plus a female leader of the parliamentary party and a female party chairman, and I am the only woman elected to the European Parliament.
Emme ole onneksi koskaan ryhtyneet käyttämään kiintiöjärjestelmiä, koska uskon, että niiden käyttämisestä olisi hyötyä miehille.	We have fortunately never gone in for quota systems for, if that were the case, I believe that men would have begun to take advantage of the fact.
Pohjoismaissakin naisia on kuitenkin hyvin vähän hallintoviroissa, ainakaan korkeimmissa viroissa.	In the Scandinavian countries too, however, there are very few women in management posts, particularly at the highest level.
Tanskalla ei ole mitään syytä kerskailla, eikä käsitykseni mukaan Ruotsillakaan.	Denmark has nothing to boast about, and nor has Sweden, as far as I can see.
Kuten eilen sanottiin, Ruotsin pääministerin valtuuskuntaan kuului vain miehiä.	As was pointed out yesterday, the Swedish Prime Minister' s delegation consisted only of men.
Meillä on siis selkeä ongelma.	We clearly have a problem, therefore.
Henkilökohtaisesti uskon, että se johtuu niistä vaatimuksista, joita naisille asetetaan hierarkkisessa järjestelmässä.	I personally believe that this has to do with the demands made of women in the hierarchical system.
Siitähän voidaan kuitenkin keskustella.	But that is, of course, something we can discuss.
Maailmanlaajuistuminen ja tieto- ja viestintäteknologia kulkevat kahteen eri suuntaan.	Globalisation and ICT will pull in two different directions.
Tieto- ja viestintäteknologian rakenteessa ei ole selvästikään hierarkiaa, ja se on naisille eduksi.	Clearly, ICT has a flat structure, and that is to women' s advantage.
Maailmanlaajuistumisen rakenne on keskittävä, mikä on loukkaus naisia kohtaan, koska he yleensä häviävät hierarkkisessa järjestelmässä.	Globalisation has a concentrated structure, which is to the disadvantage of women who thoroughly lose out in the hierarchical system.
Arvoisa puhemies, haluaisin lopuksi sanoa, että tärkein viestini on se, että meille voi olla uskomattoman paljon hyötyä Euroopan tason yhteistyöstä, mutta meidän on tunnustettava, että valtioiden ongelmat ovat hyvin erilaisia, ja sen vuoksi tarvitsemme täysin erilaisia aloitteita.	In conclusion, I want to say that my most important message is that cooperation at European level can be extremely useful to us, but we must recognise that the different countries face very different problems, and quite different initiatives are therefore required.
Meidän on eroteltava toisistaan ne asiat, joista on hyötyä kaikille yhteisön jäsenille, esimerkiksi vertailukelpoiset tilastot, ja ne alueet, joiden osalta voimme selvästikin vain kannustaa toisiamme.	We must distinguish between those things from which we can all benefit in the Community, for example statistics that can be compared, and those areas in which we can clearly only offer each other inspiration.
Tämä kanta on ajankohtainen myös laajentumisen yhteydessä.	That attitude will be of no less immediate importance in connection with enlargement.
Kyse on valtioista, joiden lainsäädäntö on kyllä kohdallaan, mutta tosiasiat eivät, ja sen vuoksi yhteinen apumme on todellakin tarpeen.	Here, we are concerned with countries which may well have the legislation in place, but not the tangible arrangements, and joint aid on our part is really needed in this area.
Arvoisa puhemies, haluan onnitella Karamanouta hänen erinomaisesta ja kattavasta mietinnöstään.	Mr President, I wish to congratulate Mrs Karamanou on a very good and comprehensive report.
Yksi sen tärkeimmistä aiheista on integroidun strategian tarve.	One of its main themes is the need for an integrated strategy.
Mikäli aikomuksemme on käsitellä tätä hyvin vakavaa epätasapainoa, joka koskee miesten ja naisten välistä osallistumista päätöksentekoon ei pelkästään poliittisessa elämässä vaan päätöksentekoon myös kaikilla yhteiskunnan tasoilla, tämä strategia on välttämätön.	If we are to tackle the very serious imbalance of representation of men and women, not only in the political sphere but also in decision-making at all levels in society, this is essential.
Meidän on syytä muistaa, että vasta viime vuonna puheenjohtajavaltio Suomi tarkasteli jäsenvaltioissa yhdeksää alaa, johon kuuluivat kansalliset, alueelliset ja paikalliset luottamuselimet, valtionhallinto ja korkein oikeus.	We should remember that just last year the Finnish presidency looked at nine sectors in the Member States, including national, regional and local parliaments, the civil service and the supreme courts.
Tekipä puheenjohtajavaltio tutkimusta missä tahansa, se sai selville, että naiset olivat aliedustettuina.	Wherever it looked it found women were under-represented.
Ongelmista on tiedetty jo pitkään, mutta edistys niiden ratkaisemiseksi on ollut hidasta.	The problems have been recognised for a long time, but progress on solving them has been slow.
Toistamme itseämme jatkuvasti näissä mietinnöissä, ja vaadimme parempia tilastotietoja ja koulutusta, tietoisuutta edistäviä kampanjoita, joilla useampia naisia rohkaistaan osallistumaan politiikkaan ja toimimaan kuten omissa yhteisöissään ja paikallisissa ryhmissään, joissa he ovat usein onnistuneet saavuttamaan avainhenkilön aseman, sekä toimia, joiden avulla miesten ja naisten on helpompaa tasapainottaa työtä ja perhe-elämää.	We repeat ourselves constantly in these reports, calling for better statistics and training, awareness campaigns to encourage more women into politics in the same way as they have already very often become key players in their own communities and local groups, and for measures to make it easier for men and to women to balance work and family life.
Meidän on jatkettava näiden asioiden korostamista, sillä niitä tarvitaan.	We have to keep on saying these things because they are needed.
Mutta lisäksi tarvitsemme myönteisiä toimia, esimerkiksi kiintiöitä, jotta onnistuisimme muuttamaan asioita konkreettisesti.	But, in addition, we need positive action, such as quotas, to make a real difference.
Tässä mietinnössä ei määrätä, mitä yksittäisissä jäsenvaltioissa pitäisi tehdä, mutta siinä vedotaan hallituksiin, jotta ne tutkisivat omaa tilannettaan ja ryhtyisivät toimiin parantaakseen naisten ja miesten välistä tasapainoa käyttämällä, mikäli tarpeen, lainsäädännöllisiä keinoja, kuten jotkin ovatkin jo tehneet.	This report does not dictate what should be done in individual Member States, but calls upon the governments to look at their own situation and take action to improve the balance of women and men, using legislative means, if necessary, as some have already done.
